date,product_category,units,price_per_unit
2024-01-01,Electronics,120,299.99
2024-01-01,Clothing,340,45.00
2024-01-01,Food,890,8.50
2024-01-01,Books,210,14.99
2024-02-01,Electronics,95,299.99
2024-02-01,Clothing,280,45.00
2024-02-01,Food,760,8.50
2024-02-01,Books,180,14.99
2024-03-01,Electronics,140,299.99
2024-03-01,Clothing,410,45.00
2024-03-01,Food,1050,8.50
2024-03-01,Books,260,14.99
2024-04-01,Electronics,130,299.99
2024-04-01,Clothing,370,45.00
2024-04-01,Food,920,8.50
2024-04-01,Books,230,14.99
2024-05-01,Electronics,160,299.99
2024-05-01,Clothing,450,45.00
2024-05-01,Food,980,8.50
2024-05-01,Books,275,14.99
2024-06-01,Electronics,175,299.99
2024-06-01,Clothing,500,45.00
2024-06-01,Food,1100,8.50
2024-06-01,Books,290,14.99
2024-07-01,Electronics,200,299.99
2024-07-01,Clothing,530,45.00
2024-07-01,Food,1200,8.50
2024-07-01,Books,310,14.99
2024-08-01,Electronics,185,299.99
2024-08-01,Clothing,510,45.00
2024-08-01,Food,1150,8.50
2024-08-01,Books,295,14.99
2024-09-01,Electronics,155,299.99
2024-09-01,Clothing,420,45.00
2024-09-01,Food,970,8.50
2024-09-01,Books,255,14.99
2024-10-01,Electronics,145,299.99
2024-10-01,Clothing,390,45.00
2024-10-01,Food,900,8.50
2024-10-01,Books,240,14.99
2024-11-01,Electronics,220,299.99
2024-11-01,Clothing,580,45.00
2024-11-01,Food,1300,8.50
2024-11-01,Books,330,14.99
2024-12-01,Electronics,310,299.99
2024-12-01,Clothing,700,45.00
2024-12-01,Food,1500,8.50
2024-12-01,Books,400,14.99
